location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,1,cpu,86,9.868427276611328,17.10710906982422,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h001.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,2,cpu,68,13.914205551147461,21.554872512817383,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h002.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,3,cpu,53,16.350784301757812,23.884519577026367,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h003.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,4,cpu,56,18.13425636291504,25.474313735961914,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h004.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,5,cpu,63,19.243118286132812,26.521865844726562,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h005.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,6,cpu,47,20.425376892089844,27.486766815185547,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h006.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,7,cpu,49,21.22659683227539,28.045026779174805,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h007.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,8,cpu,66,21.757150650024414,28.652307510375977,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h008.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,9,cpu,43,22.542497634887695,29.124082565307617,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h009.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,10,cpu,50,22.8941650390625,29.641952514648438,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h010.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,11,cpu,44,23.399927139282227,30.016088485717773,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h011.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,12,cpu,58,23.5004940032959,30.290498733520508,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h012.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,13,cpu,50,24.044790267944336,30.684650421142578,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h013.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,14,cpu,46,24.290647506713867,30.787511825561523,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h014.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,15,cpu,51,24.56245231628418,31.14048194885254,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h015.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,16,cpu,57,24.51243019104004,31.21924591064453,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h016.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,17,cpu,57,24.835535049438477,31.482648849487305,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h017.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,18,cpu,38,25.484237670898438,31.694223403930664,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h018.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,19,cpu,58,25.46949005126953,32.01237487792969,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h019.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,20,cpu,53,25.688812255859375,32.08273696899414,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h020.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,21,cpu,61,25.997350692749023,32.42737579345703,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h021.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,22,cpu,36,26.580101013183594,32.499996185302734,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h022.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,23,cpu,40,26.69968605041504,32.66072463989258,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h023.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,24,cpu,43,26.671842575073242,32.753536224365234,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h024.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,25,cpu,43,27.153284072875977,33.16083908081055,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h025.txt
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,cloud,26,cpu,51,27.2957763671875,33.380191802978516,lgb_cloud_2709bffa-c425-5fd1-b200-43a72a8253a4_h026.txt
