location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,1,cpu,81,9.313817977905273,15.732747077941895,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h001.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,2,cpu,111,12.96882152557373,19.68291473388672,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h002.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,3,cpu,123,15.023957252502441,21.767635345458984,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h003.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,4,cpu,111,16.439374923706055,23.173025131225586,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h004.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,5,cpu,133,17.4698543548584,24.174081802368164,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h005.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,6,cpu,87,18.36510467529297,25.15318489074707,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h006.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,7,cpu,112,19.200239181518555,25.833477020263672,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h007.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,8,cpu,112,19.79642105102539,26.34394073486328,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h008.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,9,cpu,117,20.162174224853516,26.75455665588379,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h009.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,10,cpu,96,20.578142166137695,27.170427322387695,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h010.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,11,cpu,89,20.97866439819336,27.506669998168945,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h011.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,12,cpu,86,21.03285026550293,27.620939254760742,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h012.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,13,cpu,49,21.719852447509766,27.99415397644043,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h013.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,14,cpu,89,21.580842971801758,28.051727294921875,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h014.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,15,cpu,82,21.874908447265625,28.290416717529297,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h015.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,16,cpu,92,21.902860641479492,28.277666091918945,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h016.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,17,cpu,75,22.039220809936523,28.43243980407715,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h017.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,18,cpu,45,22.488039016723633,28.584524154663086,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h018.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,19,cpu,85,22.262683868408203,28.634525299072266,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h019.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,20,cpu,55,22.566802978515625,28.743532180786133,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h020.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,21,cpu,43,22.85101890563965,28.80307960510254,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h021.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,22,cpu,80,22.6460018157959,28.984535217285156,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h022.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,23,cpu,47,23.200519561767578,29.11538314819336,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h023.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,24,cpu,46,23.37323760986328,29.248106002807617,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h024.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,25,cpu,34,23.903541564941406,29.440568923950195,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h025.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,26,cpu,46,24.04253578186035,29.67477035522461,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h026.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,27,cpu,56,23.9033203125,29.716411590576172,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h027.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,28,cpu,33,24.75621223449707,30.198740005493164,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h028.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,29,cpu,56,24.65749168395996,30.397558212280273,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h029.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,30,cpu,48,24.948150634765625,30.564958572387695,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h030.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,31,cpu,31,25.420345306396484,30.673095703125,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h031.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,32,cpu,29,25.90099334716797,30.98876190185547,lgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h032.txt
