location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,cloud,1,cpu,84,10.242228507995605,17.77765655517578,lgb_cloud_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h001.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,cloud,2,cpu,68,14.368436813354492,22.224119186401367,lgb_cloud_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h002.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,cloud,3,cpu,62,16.475675582885742,24.323347091674805,lgb_cloud_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h003.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,cloud,4,cpu,70,18.09667205810547,25.844743728637695,lgb_cloud_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h004.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,cloud,5,cpu,68,19.30689811706543,26.825490951538086,lgb_cloud_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h005.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,cloud,6,cpu,82,20.125205993652344,27.56181526184082,lgb_cloud_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h006.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,cloud,7,cpu,74,21.032503128051758,28.35016441345215,lgb_cloud_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h007.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,cloud,8,cpu,58,21.64141845703125,28.740692138671875,lgb_cloud_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h008.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,cloud,9,cpu,56,22.290306091308594,29.26108741760254,lgb_cloud_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h009.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,cloud,10,cpu,47,22.91368865966797,29.682628631591797,lgb_cloud_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h010.txt
