location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,1,cpu,920,0.32614725828170776,0.5268439054489136,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h001.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,2,cpu,359,0.4586784541606903,0.6718778014183044,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h002.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,3,cpu,383,0.5772010087966919,0.8168542981147766,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h003.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,4,cpu,302,0.6835408210754395,0.9569304585456848,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h004.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,5,cpu,233,0.7905167937278748,1.1008695363998413,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h005.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,6,cpu,296,0.8762341737747192,1.2233035564422607,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h006.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,7,cpu,291,0.9602982401847839,1.328759789466858,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h007.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,8,cpu,175,1.032659649848938,1.4293793439865112,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h008.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,9,cpu,151,1.0875791311264038,1.5038353204727173,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h009.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,10,cpu,144,1.133607268333435,1.5611076354980469,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h010.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,11,cpu,109,1.1892762184143066,1.6454129219055176,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h011.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,12,cpu,135,1.2400223016738892,1.718336820602417,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h012.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,13,cpu,83,1.328277826309204,1.8280209302902222,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h013.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,14,cpu,138,1.396803855895996,1.9328876733779907,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h014.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,press,15,cpu,139,1.473062515258789,2.036933422088623,lgb_press_61631413-c628-5fe4-adf3-7719f9a9c45a_h015.txt
