location_id,location_name,target,h,device_clf,device_reg,best_iter_clf,best_iter_reg,p_thr_tuned,use_log1p,test_mae,test_rmse,prec,rec,f1,tp,fp,fn,model_clf,model_reg
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,1,cpu,cpu,80,293,0.4,True,0.27320024371147156,1.043025255203247,0.7662226042111018,0.8017086330931648,0.7835640513566465,1783,544,441,lgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h001.txt,lgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h001.txt
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,2,cpu,cpu,83,262,0.3,True,0.3340536653995514,1.1076492071151733,0.6205933682371307,0.7994604316543168,0.6987620352710694,1778,1087,446,lgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h002.txt,lgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h002.txt
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,3,cpu,cpu,81,116,0.35,True,0.3348425328731537,1.1239014863967896,0.631101021566163,0.7499999999996628,0.6854325041263951,1668,975,556,lgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h003.txt,lgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h003.txt
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,4,cpu,cpu,56,181,0.3,True,0.3608592748641968,1.1263458728790283,0.5812133072405149,0.8012589928053951,0.6737240070738492,1782,1284,442,lgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h004.txt,lgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h004.txt
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,5,cpu,cpu,80,181,0.3,True,0.3650601804256439,1.1297636032104492,0.5720408836133953,0.7801258992802248,0.6600722840845403,1735,1298,489,lgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h005.txt,lgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h005.txt
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,6,cpu,cpu,60,119,0.35,True,0.35462796688079834,1.1366090774536133,0.5901517956310292,0.7167266187047137,0.6473096441744781,1594,1107,630,lgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h006.txt,lgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h006.txt
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,7,cpu,cpu,75,96,0.3,True,0.3762603998184204,1.1423319578170776,0.5503597122300359,0.7567446043162065,0.6372586136735267,1683,1375,541,lgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h007.txt,lgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h007.txt
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,8,cpu,cpu,68,82,0.3,True,0.3777039647102356,1.1447954177856445,0.5510406342911955,0.7499999999996628,0.6353075599761241,1668,1359,556,lgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h008.txt,lgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h008.txt
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,9,cpu,cpu,67,101,0.25,True,0.40088117122650146,1.1466097831726074,0.5097073312081977,0.7909172661866948,0.6199118937962829,1759,1692,465,lgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h009.txt,lgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h009.txt
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,10,cpu,cpu,66,94,0.25,True,0.40056562423706055,1.146978735923767,0.510507880910534,0.786420863308999,0.6191150437701983,1749,1677,475,lgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h010.txt,lgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h010.txt
