location_id,location_name,target,h,device_clf,device_reg,best_iter_clf,best_iter_reg,p_thr_tuned,use_log1p,test_mae,test_rmse,prec,rec,f1,tp,fp,fn,model_clf,model_reg
92330f85-61cb-52c3-80e2-8382291864f8,hcmc,rain,1,cpu,cpu,97,169,0.45,True,0.3205302655696869,1.07326078414917,0.7696488294311163,0.7616880430282327,0.7656477433133777,1841,551,576,lgb_rain_clf_92330f85-61cb-52c3-80e2-8382291864f8_h001.txt,lgb_rain_reg_92330f85-61cb-52c3-80e2-8382291864f8_h001.txt
92330f85-61cb-52c3-80e2-8382291864f8,hcmc,rain,2,cpu,cpu,78,102,0.35,True,0.3683357238769531,1.1116440296173096,0.6437694166376791,0.7716177079020391,0.7019194575391936,1865,1032,552,lgb_rain_clf_92330f85-61cb-52c3-80e2-8382291864f8_h002.txt,lgb_rain_reg_92330f85-61cb-52c3-80e2-8382291864f8_h002.txt
92330f85-61cb-52c3-80e2-8382291864f8,hcmc,rain,3,cpu,cpu,121,119,0.4,True,0.3696466088294983,1.1220276355743408,0.64039039039015,0.7058336781130716,0.6715213535650778,1706,958,711,lgb_rain_clf_92330f85-61cb-52c3-80e2-8382291864f8_h003.txt,lgb_rain_reg_92330f85-61cb-52c3-80e2-8382291864f8_h003.txt
92330f85-61cb-52c3-80e2-8382291864f8,hcmc,rain,4,cpu,cpu,75,74,0.35,True,0.3850037157535553,1.1290818452835083,0.6058443764863725,0.7376913529165339,0.6652985069672535,1783,1160,634,lgb_rain_clf_92330f85-61cb-52c3-80e2-8382291864f8_h004.txt,lgb_rain_reg_92330f85-61cb-52c3-80e2-8382291864f8_h004.txt
92330f85-61cb-52c3-80e2-8382291864f8,hcmc,rain,5,cpu,cpu,70,79,0.3,True,0.39577382802963257,1.1293033361434937,0.5737199259714455,0.769549027719996,0.6573599571000744,1860,1382,557,lgb_rain_clf_92330f85-61cb-52c3-80e2-8382291864f8_h005.txt,lgb_rain_reg_92330f85-61cb-52c3-80e2-8382291864f8_h005.txt
92330f85-61cb-52c3-80e2-8382291864f8,hcmc,rain,6,cpu,cpu,79,88,0.3,True,0.3948288559913635,1.1322818994522095,0.5726361928614363,0.7567232105913294,0.6519337011668143,1829,1365,588,lgb_rain_clf_92330f85-61cb-52c3-80e2-8382291864f8_h006.txt,lgb_rain_reg_92330f85-61cb-52c3-80e2-8382291864f8_h006.txt
92330f85-61cb-52c3-80e2-8382291864f8,hcmc,rain,7,cpu,cpu,98,119,0.35,True,0.38027602434158325,1.1325393915176392,0.6044395924306388,0.6872155564746847,0.6431752173140018,1661,1087,756,lgb_rain_clf_92330f85-61cb-52c3-80e2-8382291864f8_h007.txt,lgb_rain_reg_92330f85-61cb-52c3-80e2-8382291864f8_h007.txt
92330f85-61cb-52c3-80e2-8382291864f8,hcmc,rain,8,cpu,cpu,63,77,0.35,True,0.3810535669326782,1.1330574750900269,0.5960072595279143,0.6793545717829212,0.6349574627656176,1642,1113,775,lgb_rain_clf_92330f85-61cb-52c3-80e2-8382291864f8_h008.txt,lgb_rain_reg_92330f85-61cb-52c3-80e2-8382291864f8_h008.txt
92330f85-61cb-52c3-80e2-8382291864f8,hcmc,rain,9,cpu,cpu,58,71,0.35,True,0.38133013248443604,1.1320146322250366,0.598841419261188,0.6843194042198244,0.6387333457078034,1654,1108,763,lgb_rain_clf_92330f85-61cb-52c3-80e2-8382291864f8_h009.txt,lgb_rain_reg_92330f85-61cb-52c3-80e2-8382291864f8_h009.txt
92330f85-61cb-52c3-80e2-8382291864f8,hcmc,rain,10,cpu,cpu,58,71,0.35,True,0.3797689378261566,1.1335680484771729,0.5959004392384348,0.6735622672732009,0.6323557967438086,1628,1104,789,lgb_rain_clf_92330f85-61cb-52c3-80e2-8382291864f8_h010.txt,lgb_rain_reg_92330f85-61cb-52c3-80e2-8382291864f8_h010.txt
