location_id,location_name,target,h,device_clf,device_reg,best_iter_clf,best_iter_reg,p_thr_tuned,use_log1p,test_mae,test_rmse,prec,rec,f1,tp,fp,fn,model_clf,model_reg
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,rain,1,cpu,cpu,81,139,0.35,True,0.21885809302330017,0.7714264392852783,0.7428833792466746,0.8171717171713044,0.7782587777595377,1618,560,362,lgb_rain_clf_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h001.txt,lgb_rain_reg_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h001.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,rain,2,cpu,cpu,94,117,0.35,True,0.2563494145870209,0.8238640427589417,0.6579391891889114,0.7868686868682895,0.716651333450294,1558,810,422,lgb_rain_clf_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h002.txt,lgb_rain_reg_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h002.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,rain,3,cpu,cpu,86,95,0.35,True,0.273703008890152,0.8419036269187927,0.6139497161392482,0.7646464646460784,0.6810616279357176,1514,952,466,lgb_rain_clf_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h003.txt,lgb_rain_reg_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h003.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,rain,4,cpu,cpu,82,87,0.3,True,0.2974112927913666,0.8524323105812073,0.5583774250438948,0.7994949494945457,0.6575285561094696,1583,1252,397,lgb_rain_clf_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h004.txt,lgb_rain_reg_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h004.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,rain,5,cpu,cpu,86,66,0.35,True,0.28887099027633667,0.856769859790802,0.590079365079131,0.7510101010097218,0.6608888883957952,1487,1033,493,lgb_rain_clf_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h005.txt,lgb_rain_reg_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h005.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,rain,6,cpu,cpu,79,68,0.35,True,0.2943752408027649,0.8583333492279053,0.5743428795603867,0.739393939393566,0.6465003307065467,1464,1085,516,lgb_rain_clf_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h006.txt,lgb_rain_reg_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h006.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,rain,7,cpu,cpu,81,55,0.35,True,0.29568159580230713,0.8618667125701904,0.5749405233939037,0.7323232323228624,0.6441581514394352,1450,1072,530,lgb_rain_clf_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h007.txt,lgb_rain_reg_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h007.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,rain,8,cpu,cpu,60,55,0.3,True,0.31421947479248047,0.8656219244003296,0.5319587628864151,0.781818181817787,0.6331288338736542,1548,1362,432,lgb_rain_clf_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h008.txt,lgb_rain_reg_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h008.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,rain,9,cpu,cpu,76,56,0.3,True,0.31217947602272034,0.8669020533561707,0.5338953284156889,0.7676767676763799,0.6297907598224785,1520,1327,460,lgb_rain_clf_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h009.txt,lgb_rain_reg_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h009.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,rain,10,cpu,cpu,76,54,0.3,True,0.3194701373577118,0.8709336519241333,0.524555903866066,0.7606060606056765,0.6209029061338043,1506,1365,474,lgb_rain_clf_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h010.txt,lgb_rain_reg_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h010.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,rain,11,cpu,cpu,85,49,0.3,True,0.320182740688324,0.8711985349655151,0.5224039829301129,0.7419191919188172,0.61310517480697,1469,1343,511,lgb_rain_clf_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h011.txt,lgb_rain_reg_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h011.txt
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,rain,12,cpu,cpu,83,50,0.3,True,0.3244950771331787,0.8750698566436768,0.5141065830719213,0.745454545454169,0.608534322336654,1476,1395,504,lgb_rain_clf_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h012.txt,lgb_rain_reg_f6efaa2f-5be2-5d45-9a81-275f1a621a39_h012.txt
