location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,1,cpu,276,2.4583263397216797,3.327338695526123,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h001.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,2,cpu,194,3.348519802093506,4.473311424255371,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h002.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,3,cpu,152,3.8936707973480225,5.175279140472412,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h003.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,4,cpu,202,4.288844585418701,5.694305419921875,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h004.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,5,cpu,200,4.586084365844727,6.108605861663818,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h005.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,6,cpu,137,4.78200626373291,6.394596099853516,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h006.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,7,cpu,120,4.948583126068115,6.656334400177002,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h007.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,8,cpu,158,5.1134419441223145,6.860531806945801,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h008.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,9,cpu,116,5.211085796356201,7.011651992797852,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h009.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,10,cpu,148,5.354108810424805,7.160107135772705,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h010.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,11,cpu,106,5.383372783660889,7.233579158782959,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h011.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,12,cpu,124,5.495064735412598,7.348019599914551,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h012.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,13,cpu,101,5.5921525955200195,7.448264122009277,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h013.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,14,cpu,90,5.640067100524902,7.542553901672363,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h014.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,15,cpu,141,5.6663818359375,7.572511196136475,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h015.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,16,cpu,62,5.63627290725708,7.59485387802124,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h016.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,17,cpu,115,5.740786075592041,7.744534492492676,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h017.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,18,cpu,67,5.730953216552734,7.769372940063477,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h018.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,19,cpu,78,5.767610549926758,7.838164329528809,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h019.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,20,cpu,67,5.75093936920166,7.839092254638672,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h020.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,21,cpu,54,5.792904376983643,7.899707794189453,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h021.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,22,cpu,55,5.877177715301514,7.997786998748779,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h022.txt
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rh,23,cpu,55,5.8876824378967285,8.00461196899414,lgb_rh_61631413-c628-5fe4-adf3-7719f9a9c45a_h023.txt
