,target,family,bin,mae,rmse,degrad_mae_%,degrad_rmse_%
0,temp,Ridge,D1 (1-24h),0.8801,1.2008,0.0,0.0
1,temp,Ridge,D2 (25-48h),1.2211,1.6277,38.7,35.5
2,temp,Ridge,D3 (49-72h),1.4157,1.8594,60.9,54.8
3,temp,Ridge,D4 (73-100h),1.5066,1.9662,71.2,63.7
4,temp,XGB,D1 (1-24h),0.8478,1.1633,0.0,0.0
5,temp,XGB,D2 (25-48h),1.2238,1.6481,44.4,41.7
6,temp,XGB,D3 (49-72h),1.4339,1.9066,69.1,63.9
7,temp,XGB,D4 (73-100h),1.5278,2.0155,80.2,73.3
8,temp,LGB,D1 (1-24h),0.8443,1.155,0.0,0.0
9,temp,LGB,D2 (25-48h),1.2129,1.6296,43.7,41.1
10,temp,LGB,D3 (49-72h),1.4262,1.8915,68.9,63.8
11,temp,LGB,D4 (73-100h),1.5211,2.0053,80.1,73.6
12,temp,GRU,D1 (1-24h),2.5878,3.6098,0.0,0.0
13,temp,GRU,D2 (25-48h),2.5978,3.5951,0.4,-0.4
14,temp,GRU,D3 (49-72h),2.5457,3.5323,-1.6,-2.1
15,temp,GRU,D4 (73-100h),2.5745,3.5908,-0.5,-0.5
16,temp,TCN,D1 (1-24h),1.827,2.5016,0.0,0.0
17,temp,TCN,D2 (25-48h),2.2601,3.1146,23.7,24.5
18,temp,TCN,D3 (49-72h),2.4747,3.4321,35.5,37.2
19,temp,TCN,D4 (73-100h),2.5449,3.5518,39.3,42.0
20,temp,Persistence,D1 (1-24h),2.7447,3.396,0.0,0.0
21,temp,Persistence,D2 (25-48h),2.9933,3.7187,9.1,9.5
22,temp,Persistence,D3 (49-72h),3.1757,3.9575,15.7,16.5
23,temp,Persistence,D4 (73-100h),3.1747,3.9794,15.7,17.2
24,temp,Climatology,D1 (1-24h),3.0214,3.7008,0.0,0.0
25,temp,Climatology,D2 (25-48h),3.0302,3.7114,0.3,0.3
26,temp,Climatology,D3 (49-72h),3.041,3.726,0.6,0.7
27,temp,Climatology,D4 (73-100h),2.9195,3.5968,-3.4,-2.8
28,rain,Ridge,D1 (1-24h),0.3349,1.1163,0.0,0.0
29,rain,Ridge,D2 (25-48h),0.3495,1.1089,4.4,-0.7
30,rain,Ridge,D3 (49-72h),0.3517,1.1142,5.0,-0.2
31,rain,Ridge,D4 (73-100h),0.3519,1.1156,5.1,-0.1
32,rain,XGB,D1 (1-24h),0.3453,1.073,0.0,0.0
33,rain,XGB,D2 (25-48h),0.3803,1.1159,10.2,4.0
34,rain,XGB,D3 (49-72h),0.3874,1.122,12.2,4.6
35,rain,XGB,D4 (73-100h),0.3858,1.1213,11.7,4.5
36,rain,LGB,D1 (1-24h),0.3178,1.0723,0.0,0.0
37,rain,LGB,D2 (25-48h),0.3336,1.1193,5.0,4.4
38,rain,LGB,D3 (49-72h),0.3352,1.1264,5.5,5.0
39,rain,LGB,D4 (73-100h),0.3341,1.1276,5.2,5.2
40,rain,GRU,D1 (1-24h),0.5835,1.2049,0.0,0.0
41,rain,GRU,D2 (25-48h),0.6011,1.2247,3.0,1.6
42,rain,GRU,D3 (49-72h),0.61,1.2275,4.5,1.9
43,rain,GRU,D4 (73-100h),0.5419,1.1857,-7.1,-1.6
44,rain,TCN,D1 (1-24h),0.487,1.1524,0.0,0.0
45,rain,TCN,D2 (25-48h),0.5038,1.1706,3.4,1.6
46,rain,TCN,D3 (49-72h),0.4886,1.1639,0.3,1.0
47,rain,TCN,D4 (73-100h),0.4947,1.162,1.6,0.8
48,rain,Persistence,D1 (1-24h),0.4475,1.4334,0.0,0.0
49,rain,Persistence,D2 (25-48h),0.5038,1.5431,12.6,7.7
50,rain,Persistence,D3 (49-72h),0.5202,1.5648,16.2,9.2
51,rain,Persistence,D4 (73-100h),0.5217,1.567,16.6,9.3
52,rain,Climatology,D1 (1-24h),0.4362,1.1394,0.0,0.0
53,rain,Climatology,D2 (25-48h),0.4358,1.1387,-0.1,-0.1
54,rain,Climatology,D3 (49-72h),0.4353,1.1377,-0.2,-0.1
55,rain,Climatology,D4 (73-100h),0.4328,1.1348,-0.8,-0.4
56,u10,Ridge,D1 (1-24h),0.82,1.1242,0.0,0.0
57,u10,Ridge,D2 (25-48h),1.01,1.3664,23.2,21.5
58,u10,Ridge,D3 (49-72h),1.0839,1.4492,32.2,28.9
59,u10,Ridge,D4 (73-100h),1.1107,1.4808,35.4,31.7
60,u10,XGB,D1 (1-24h),0.8018,1.1011,0.0,0.0
61,u10,XGB,D2 (25-48h),1.0065,1.3637,25.5,23.9
62,u10,XGB,D3 (49-72h),1.0906,1.463,36.0,32.9
63,u10,XGB,D4 (73-100h),1.1292,1.5104,40.8,37.2
64,u10,LGB,D1 (1-24h),0.8007,1.1001,0.0,0.0
65,u10,LGB,D2 (25-48h),1.0024,1.3572,25.2,23.4
66,u10,LGB,D3 (49-72h),1.0807,1.4479,35.0,31.6
67,u10,LGB,D4 (73-100h),1.1172,1.4914,39.5,35.6
68,u10,GRU,D1 (1-24h),1.4905,1.9567,0.0,0.0
69,u10,GRU,D2 (25-48h),1.484,1.9463,-0.4,-0.5
70,u10,GRU,D3 (49-72h),1.4924,1.9566,0.1,-0.0
71,u10,GRU,D4 (73-100h),1.5023,1.969,0.8,0.6
72,u10,TCN,D1 (1-24h),1.2141,1.5972,0.0,0.0
73,u10,TCN,D2 (25-48h),1.3844,1.8318,14.0,14.7
74,u10,TCN,D3 (49-72h),1.4569,1.9166,20.0,20.0
75,u10,TCN,D4 (73-100h),1.4785,1.9358,21.8,21.2
76,u10,Persistence,D1 (1-24h),1.2606,1.6407,0.0,0.0
77,u10,Persistence,D2 (25-48h),1.5014,1.9547,19.1,19.1
78,u10,Persistence,D3 (49-72h),1.6312,2.104,29.4,28.2
79,u10,Persistence,D4 (73-100h),1.6803,2.1641,33.3,31.9
