target,family,mae,ratio_to_median,status
temp,Climatology,2.9997,1.31,✓ OK
temp,GRU,2.5764,1.13,✓ OK
temp,LGB,1.2619,0.55,✓ OK
temp,Persistence,3.0282,1.32,✓ OK
temp,Ridge,1.2659,0.55,✓ OK
temp,TCN,2.2874,1.0,✓ OK
temp,XGB,1.2691,0.55,✓ OK
rain,Climatology,0.4349,1.0,✓ OK
rain,GRU,0.5824,1.34,✓ OK
rain,LGB,0.3303,0.76,✓ OK
rain,Persistence,0.4992,1.15,✓ OK
rain,Ridge,0.3472,0.8,✓ OK
rain,TCN,0.4936,1.13,✓ OK
rain,XGB,0.3751,0.86,✓ OK
u10,Climatology,1.3658,1.0,✓ OK
u10,GRU,1.4927,1.09,✓ OK
u10,LGB,1.0049,0.74,✓ OK
u10,Persistence,1.5248,1.12,✓ OK
u10,Ridge,1.0103,0.74,✓ OK
u10,TCN,1.3873,1.02,✓ OK
u10,XGB,1.0119,0.74,✓ OK
v10,Climatology,1.3035,1.0,✓ OK
v10,GRU,1.3972,1.07,✓ OK
v10,LGB,1.0016,0.77,✓ OK
v10,Persistence,1.4857,1.14,✓ OK
v10,Ridge,1.0002,0.77,✓ OK
v10,TCN,1.3483,1.03,✓ OK
v10,XGB,1.008,0.77,✓ OK
rh,Climatology,12.842,1.8,✓ OK
rh,GRU,7.5108,1.05,✓ OK
rh,LGB,6.1488,0.86,✓ OK
rh,Persistence,13.3301,1.87,✓ OK
rh,Ridge,6.2177,0.87,✓ OK
rh,TCN,7.1455,1.0,✓ OK
rh,XGB,6.183,0.87,✓ OK
press,Climatology,2.7689,1.03,✓ OK
press,GRU,6.3778,2.37,✓ OK
press,LGB,1.7671,0.66,✓ OK
press,Persistence,2.6865,1.0,✓ OK
press,Ridge,1.706,0.64,✓ OK
press,TCN,9.9002,3.69,⚠️ OUTLIER
press,XGB,1.78,0.66,✓ OK
cloud,Climatology,27.4688,1.12,✓ OK
cloud,GRU,21.5557,0.88,✓ OK
cloud,LGB,24.6017,1.0,✓ OK
cloud,Persistence,25.3435,1.03,✓ OK
cloud,Ridge,24.4334,0.99,✓ OK
cloud,TCN,22.5476,0.92,✓ OK
cloud,XGB,24.7467,1.01,✓ OK
