,target,model,model_mae,model_rmse,persist_mae,persist_rmse,skill_mae,skill_rmse,beats_persist
0,temp,Ridge,1.2659,1.6757,3.0282,3.7716,0.582,0.5557,✅
1,temp,XGB,1.2691,1.6967,3.0282,3.7716,0.5809,0.5501,✅
2,temp,LGB,1.2619,1.6837,3.0282,3.7716,0.5833,0.5536,✅
3,temp,GRU,2.5764,3.5823,3.0282,3.7716,0.1492,0.0502,✅
4,temp,TCN,2.2874,3.1661,3.0282,3.7716,0.2446,0.1605,✅
5,rain,Ridge,0.3472,1.1138,0.4992,1.5287,0.3046,0.2714,✅
6,rain,XGB,0.3751,1.1086,0.4992,1.5287,0.2486,0.2748,✅
7,rain,LGB,0.3303,1.112,0.4992,1.5287,0.3383,0.2726,✅
8,rain,GRU,0.5824,1.2097,0.4992,1.5287,-0.1667,0.2087,❌
9,rain,TCN,0.4936,1.1622,0.4992,1.5287,0.0114,0.2397,✅
10,u10,Ridge,1.0103,1.3602,1.5248,1.9738,0.3374,0.3109,✅
11,u10,XGB,1.0119,1.3656,1.5248,1.9738,0.3364,0.3081,✅
12,u10,LGB,1.0049,1.3548,1.5248,1.9738,0.341,0.3136,✅
13,u10,GRU,1.4927,1.9576,1.5248,1.9738,0.0211,0.0082,✅
14,u10,TCN,1.3873,1.825,1.5248,1.9738,0.0902,0.0754,✅
15,v10,Ridge,1.0002,1.3456,1.4857,1.9371,0.3267,0.3054,✅
16,v10,XGB,1.008,1.354,1.4857,1.9371,0.3215,0.301,✅
17,v10,LGB,1.0016,1.3451,1.4857,1.9371,0.3258,0.3056,✅
18,v10,GRU,1.3972,1.8607,1.4857,1.9371,0.0595,0.0394,✅
19,v10,TCN,1.3483,1.8004,1.4857,1.9371,0.0924,0.0706,✅
20,rh,Ridge,6.2177,8.2648,13.3301,16.8073,0.5336,0.5083,✅
21,rh,XGB,6.183,8.2616,13.3301,16.8073,0.5362,0.5085,✅
22,rh,LGB,6.1488,8.1974,13.3301,16.8073,0.5387,0.5123,✅
23,rh,GRU,7.5108,10.0319,13.3301,16.8073,0.4366,0.4031,✅
24,rh,TCN,7.1455,9.464,13.3301,16.8073,0.464,0.4369,✅
25,press,Ridge,1.706,2.2639,2.6865,3.4532,0.365,0.3444,✅
26,press,XGB,1.78,2.388,2.6865,3.4532,0.3374,0.3085,✅
27,press,LGB,1.7671,2.3714,2.6865,3.4532,0.3422,0.3133,✅
28,press,GRU,6.3778,10.2851,2.6865,3.4532,-1.374,-1.9784,❌
29,press,TCN,9.9002,23.6493,2.6865,3.4532,-2.6851,-5.8485,❌
30,cloud,Ridge,24.4334,30.454,25.3435,40.7175,0.0359,0.2521,✅
31,cloud,XGB,24.7467,30.5659,25.3435,40.7175,0.0235,0.2493,✅
32,cloud,LGB,24.6017,30.39,25.3435,40.7175,0.0293,0.2536,✅
33,cloud,GRU,21.5557,35.4523,25.3435,40.7175,0.1495,0.1293,✅
34,cloud,TCN,22.5476,31.8984,25.3435,40.7175,0.1103,0.2166,✅
