location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,1,cuda,54,10.080015182495117,17.64112663269043,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h001.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,2,cuda,77,13.900870323181152,22.075363159179688,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h002.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,3,cuda,73,15.932985305786133,24.3428955078125,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h003.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,4,cuda,63,17.29323387145996,25.562021255493164,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h004.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,5,cuda,50,18.206209182739258,26.156709671020508,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h005.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,6,cuda,66,18.74215316772461,26.694381713867188,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h006.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,7,cuda,65,19.263879776000977,27.037839889526367,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h007.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,8,cuda,63,19.72637939453125,27.48973274230957,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h008.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,9,cuda,78,20.225841522216797,27.929861068725586,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h009.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,10,cuda,92,20.678268432617188,28.243961334228516,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h010.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,11,cuda,68,20.937776565551758,28.477699279785156,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h011.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,12,cuda,87,21.309335708618164,28.68378257751465,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h012.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,13,cuda,78,21.50586700439453,28.84050941467285,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h013.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,14,cuda,80,21.712570190429688,29.131494522094727,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h014.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,15,cuda,85,21.87254524230957,29.152454376220703,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h015.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,cloud,16,cuda,69,22.097047805786133,29.24556541442871,xgb_cloud_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h016.json
