location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,1,cuda,57,9.385842323303223,15.817495346069336,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h001.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,2,cuda,61,12.89081859588623,19.751909255981445,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h002.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,3,cuda,63,14.894932746887207,21.763601303100586,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h003.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,4,cuda,83,16.26660919189453,23.18280029296875,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h004.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,5,cuda,97,17.389957427978516,24.287208557128906,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h005.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,6,cuda,79,18.220312118530273,25.033931732177734,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h006.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,7,cuda,79,19.104217529296875,25.801305770874023,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h007.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,8,cuda,68,19.670324325561523,26.422578811645508,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h008.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,9,cuda,85,20.103899002075195,26.831541061401367,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h009.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,10,cuda,63,20.59064292907715,27.226762771606445,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h010.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,11,cuda,78,20.817378997802734,27.548572540283203,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h011.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,12,cuda,65,21.256227493286133,27.81496810913086,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h012.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,13,cuda,60,21.437284469604492,27.92266845703125,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h013.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,14,cuda,58,21.65330696105957,28.156883239746094,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h014.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,15,cuda,60,21.810649871826172,28.24711799621582,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h015.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,16,cuda,70,21.90899085998535,28.414682388305664,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h016.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,17,cuda,47,22.289941787719727,28.557720184326172,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h017.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,18,cuda,49,22.318023681640625,28.58221435546875,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h018.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,19,cuda,47,22.415563583374023,28.740270614624023,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h019.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,20,cuda,46,22.671215057373047,28.855873107910156,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h020.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,21,cuda,41,22.81049919128418,28.95712661743164,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h021.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,22,cuda,39,22.99452018737793,29.104652404785156,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h022.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,23,cuda,33,23.405956268310547,29.271242141723633,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h023.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,24,cuda,41,23.328556060791016,29.37506103515625,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h024.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,25,cuda,66,23.36624526977539,29.639467239379883,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h025.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,26,cuda,39,23.943178176879883,29.86555290222168,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h026.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,27,cuda,33,24.445762634277344,30.1957950592041,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h027.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,28,cuda,26,25.004791259765625,30.448745727539062,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h028.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,29,cuda,32,24.81606101989746,30.52503204345703,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h029.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,30,cuda,40,24.988197326660156,30.839075088500977,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h030.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,31,cuda,37,25.284915924072266,31.05467414855957,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h031.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,32,cuda,39,25.379169464111328,31.10380744934082,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h032.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,33,cuda,61,25.532913208007812,31.479595184326172,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h033.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,34,cuda,20,26.704635620117188,31.76070785522461,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h034.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,35,cuda,25,26.331703186035156,31.64155387878418,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h035.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,36,cuda,25,26.304237365722656,31.64585304260254,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h036.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,37,cuda,23,26.51473045349121,31.715177536010742,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h037.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,38,cuda,27,26.30967903137207,31.731128692626953,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h038.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,39,cuda,36,26.189056396484375,31.9372501373291,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h039.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,40,cuda,23,26.626380920410156,31.87820816040039,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h040.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,41,cuda,21,26.819032669067383,31.985727310180664,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h041.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,42,cuda,15,27.302085876464844,32.174583435058594,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h042.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,43,cuda,24,26.758108139038086,32.027957916259766,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h043.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,44,cuda,21,26.8282527923584,32.002254486083984,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h044.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,45,cuda,19,26.965213775634766,32.001827239990234,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h045.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,46,cuda,18,27.191986083984375,32.20941925048828,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h046.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,47,cuda,19,27.092443466186523,32.14387130737305,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h047.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,48,cuda,13,27.700712203979492,32.490543365478516,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h048.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,cloud,49,cuda,17,27.501270294189453,32.473941802978516,xgb_cloud_61631413-c628-5fe4-adf3-7719f9a9c45a_h049.json
