location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,1,cuda,154,0.27571427822113037,0.3981168568134308,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h001.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,2,cuda,192,0.4203747808933258,0.5801372528076172,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h002.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,3,cuda,368,0.547311007976532,0.752186119556427,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h003.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,4,cuda,387,0.6705789566040039,0.9097301959991455,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h004.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,5,cuda,407,0.7937232255935669,1.0835497379302979,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h005.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,6,cuda,394,0.8953718543052673,1.2270337343215942,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h006.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,7,cuda,277,0.9846504926681519,1.3526369333267212,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h007.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,8,cuda,205,1.0658354759216309,1.4636825323104858,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h008.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,9,cuda,256,1.122392177581787,1.5408893823623657,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h009.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,10,cuda,116,1.177504539489746,1.6150163412094116,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h010.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,11,cuda,158,1.237404227256775,1.6862560510635376,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h011.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,12,cuda,107,1.2956451177597046,1.7632677555084229,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h012.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,13,cuda,89,1.356337308883667,1.8415982723236084,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h013.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,14,cuda,101,1.4337821006774902,1.9543249607086182,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h014.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,15,cuda,70,1.5202314853668213,2.0675852298736572,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h015.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,16,cuda,104,1.5938451290130615,2.1581223011016846,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h016.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,17,cuda,80,1.6524192094802856,2.2390897274017334,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h017.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,18,cuda,83,1.7241575717926025,2.349682331085205,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h018.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,19,cuda,81,1.7379173040390015,2.385451316833496,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h019.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,20,cuda,63,1.7784411907196045,2.426257371902466,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h020.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,21,cuda,63,1.8131589889526367,2.4792237281799316,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h021.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,22,cuda,59,1.82792329788208,2.503019094467163,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h022.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,23,cuda,52,1.8419513702392578,2.531447410583496,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h023.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,24,cuda,62,1.8893482685089111,2.5983848571777344,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h024.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,25,cuda,63,1.948203682899475,2.6614925861358643,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h025.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,26,cuda,89,2.030247688293457,2.7648165225982666,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h026.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,27,cuda,61,2.096240282058716,2.8402535915374756,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h027.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,press,28,cuda,72,2.1405186653137207,2.907092332839966,xgb_press_8a3dd815-a267-514a-94c4-d1cf7efd5019_h028.json
