location_id,location_name,target,h,device_clf,device_reg,best_iter_clf,best_iter_reg,p_thr_tuned,use_log1p,test_mae,test_rmse,prec,rec,f1,tp,fp,fn,model_clf,model_reg
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rain,1,cuda,cuda,323,47,0.5,True,0.2753298580646515,0.9646615982055664,0.7730704697983335,0.7971453287193784,0.7849233385117083,1843,541,469,xgb_rain_clf_20f3f035-f1a6-5786-a26c-52c01d5573ed_h001.json,xgb_rain_reg_20f3f035-f1a6-5786-a26c-52c01d5573ed_h001.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rain,2,cuda,cuda,278,52,0.4,True,0.33629199862480164,1.0264112949371338,0.6397793864182558,0.8027681660896182,0.7120659883800788,1856,1045,456,xgb_rain_clf_20f3f035-f1a6-5786-a26c-52c01d5573ed_h002.json,xgb_rain_reg_20f3f035-f1a6-5786-a26c-52c01d5573ed_h002.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rain,3,cuda,cuda,253,35,0.5,True,0.3374927043914795,1.0341662168502808,0.6384266263235104,0.7301038062280579,0.6811945112049551,1688,956,624,xgb_rain_clf_20f3f035-f1a6-5786-a26c-52c01d5573ed_h003.json,xgb_rain_reg_20f3f035-f1a6-5786-a26c-52c01d5573ed_h003.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rain,4,cuda,cuda,222,38,0.45,True,0.3558242619037628,1.0461397171020508,0.5937289278487546,0.7616782006917121,0.667298218529781,1761,1205,551,xgb_rain_clf_20f3f035-f1a6-5786-a26c-52c01d5573ed_h004.json,xgb_rain_reg_20f3f035-f1a6-5786-a26c-52c01d5573ed_h004.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rain,5,cuda,cuda,224,28,0.4,True,0.37387219071388245,1.0507506132125854,0.5621391674261433,0.8001730103802768,0.6603605206644134,1850,1441,462,xgb_rain_clf_20f3f035-f1a6-5786-a26c-52c01d5573ed_h005.json,xgb_rain_reg_20f3f035-f1a6-5786-a26c-52c01d5573ed_h005.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rain,6,cuda,cuda,235,24,0.45,True,0.3650537431240082,1.0521320104599,0.5728282168515438,0.7586505190308137,0.6527726083669576,1754,1308,558,xgb_rain_clf_20f3f035-f1a6-5786-a26c-52c01d5573ed_h006.json,xgb_rain_reg_20f3f035-f1a6-5786-a26c-52c01d5573ed_h006.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rain,7,cuda,cuda,161,32,0.4,True,0.38631269335746765,1.0532563924789429,0.5382616228701882,0.8062283737020735,0.6455411250607637,1864,1599,448,xgb_rain_clf_20f3f035-f1a6-5786-a26c-52c01d5573ed_h007.json,xgb_rain_reg_20f3f035-f1a6-5786-a26c-52c01d5573ed_h007.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rain,8,cuda,cuda,148,25,0.45,True,0.37303441762924194,1.05077064037323,0.5493655215101982,0.7677335640135088,0.6404474106627099,1775,1456,537,xgb_rain_clf_20f3f035-f1a6-5786-a26c-52c01d5573ed_h008.json,xgb_rain_reg_20f3f035-f1a6-5786-a26c-52c01d5573ed_h008.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rain,9,cuda,cuda,251,27,0.4,True,0.38281354308128357,1.0580272674560547,0.5377187688592222,0.7707612456744071,0.6334873795369644,1782,1532,530,xgb_rain_clf_20f3f035-f1a6-5786-a26c-52c01d5573ed_h009.json,xgb_rain_reg_20f3f035-f1a6-5786-a26c-52c01d5573ed_h009.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rain,10,cuda,cuda,160,28,0.45,True,0.37677884101867676,1.0585240125656128,0.5465916197621805,0.7560553633214723,0.6344827581333873,1748,1450,564,xgb_rain_clf_20f3f035-f1a6-5786-a26c-52c01d5573ed_h010.json,xgb_rain_reg_20f3f035-f1a6-5786-a26c-52c01d5573ed_h010.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rain,11,cuda,cuda,85,27,0.5,True,0.37586700916290283,1.061368465423584,0.549350649350471,0.7318339100342856,0.6275964386790502,1692,1388,620,xgb_rain_clf_20f3f035-f1a6-5786-a26c-52c01d5573ed_h011.json,xgb_rain_reg_20f3f035-f1a6-5786-a26c-52c01d5573ed_h011.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rain,12,cuda,cuda,133,30,0.45,True,0.3844932019710541,1.0624138116836548,0.5291817087844377,0.7608131487885983,0.6242015609069569,1759,1565,553,xgb_rain_clf_20f3f035-f1a6-5786-a26c-52c01d5573ed_h012.json,xgb_rain_reg_20f3f035-f1a6-5786-a26c-52c01d5573ed_h012.json
