location_id,location_name,target,h,device_clf,device_reg,best_iter_clf,best_iter_reg,p_thr_tuned,use_log1p,test_mae,test_rmse,prec,rec,f1,tp,fp,fn,model_clf,model_reg
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,1,cuda,cuda,389,65,0.5,True,0.3030602037906647,1.253831148147583,0.7776255707759007,0.8109523809519947,0.7939393934392437,1703,487,397,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h001.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h001.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,2,cuda,cuda,378,22,0.55,True,0.3443963825702667,1.3634743690490723,0.712696941612274,0.7323809523806036,0.7224048844222521,1538,620,562,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h002.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h002.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,3,cuda,cuda,327,37,0.4,True,0.38035130500793457,1.3728996515274048,0.6010791366904312,0.7957142857139068,0.6848360650831982,1671,1109,429,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h003.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h003.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,4,cuda,cuda,320,27,0.4,True,0.39406174421310425,1.3845267295837402,0.5722202978868818,0.786666666666292,0.6625225581646828,1652,1235,448,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h004.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h004.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,5,cuda,cuda,307,35,0.4,True,0.3975982367992401,1.3893733024597168,0.5678144764579874,0.7695238095234431,0.6534573387751623,1616,1230,484,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h005.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h005.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,6,cuda,cuda,256,28,0.45,True,0.3989391624927521,1.394183874130249,0.5674300254450864,0.7433333333329794,0.643578643087383,1561,1190,539,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h006.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h006.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,7,cuda,cuda,283,26,0.45,True,0.40403038263320923,1.4072285890579224,0.5572935612948137,0.7295238095234622,0.6318828619545613,1532,1217,568,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h007.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h007.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,8,cuda,cuda,324,27,0.4,True,0.41435566544532776,1.4126112461090088,0.529982668977286,0.7280952380948914,0.6134403204750413,1529,1356,571,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h008.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h008.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,9,cuda,cuda,286,17,0.5,True,0.3981269896030426,1.4183720350265503,0.5559080095160365,0.6676190476187297,0.6066637814164975,1402,1120,698,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h009.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h009.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,10,cuda,cuda,357,28,0.35,True,0.4315401613712311,1.4158644676208496,0.501613944480148,0.7399999999996476,0.5979222773173548,1554,1544,546,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h010.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h010.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,11,cuda,cuda,241,13,0.4,True,0.42996785044670105,1.4201881885528564,0.4937704918031168,0.7171428571425157,0.5848543684488254,1506,1544,594,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h011.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h011.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,12,cuda,cuda,226,11,0.45,True,0.41880136728286743,1.4320815801620483,0.5164082221418982,0.6819047619044372,0.5877282982985425,1432,1341,668,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h012.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h012.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,13,cuda,cuda,304,13,0.4,True,0.42331185936927795,1.4293092489242554,0.5024475524473768,0.6842857142853884,0.5794354833824732,1437,1423,663,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h013.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h013.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,14,cuda,cuda,241,13,0.45,True,0.4216861128807068,1.428828477859497,0.507954125046057,0.6538095238092124,0.5717260040881134,1373,1330,727,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h014.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h014.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,15,cuda,cuda,269,14,0.45,True,0.42325663566589355,1.4351916313171387,0.4960718294049771,0.6314285714282708,0.5556253923416683,1326,1347,774,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h015.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h015.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,16,cuda,cuda,265,15,0.35,True,0.452867716550827,1.4375019073486328,0.45912722802690253,0.7114285714282327,0.5580874108043052,1494,1760,606,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h016.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h016.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,17,cuda,cuda,182,23,0.4,True,0.4551456868648529,1.4357538223266602,0.46141879278143705,0.7061904761901399,0.5581482870641042,1483,1731,617,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h017.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h017.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,18,cuda,cuda,245,8,0.4,True,0.44832122325897217,1.4466685056686401,0.4577533182258149,0.6733333333330127,0.5449990359411562,1414,1675,686,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h018.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h018.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,19,cuda,cuda,270,13,0.4,True,0.4445790946483612,1.4445594549179077,0.466556291390574,0.6709523809520614,0.5503906245159288,1409,1611,691,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h019.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h019.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,20,cuda,cuda,295,14,0.4,True,0.45053979754447937,1.4546902179718018,0.4543935850315889,0.6476190476187392,0.5340663651150049,1360,1633,740,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h020.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h020.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,21,cuda,cuda,155,18,0.45,True,0.45326346158981323,1.4604263305664062,0.45093534624205744,0.6542857142854027,0.5339032441252285,1374,1673,726,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h021.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h021.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,22,cuda,cuda,318,8,0.4,True,0.4459868371486664,1.4599026441574097,0.4436693407741738,0.6057142857139973,0.51218039008953,1272,1595,828,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h022.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h022.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,23,cuda,cuda,254,13,0.35,True,0.48106691241264343,1.4627745151519775,0.41676234213535684,0.6914285714282422,0.5200573061207867,1452,2032,648,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h023.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h023.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,24,cuda,cuda,276,13,0.35,True,0.476054847240448,1.4613746404647827,0.4186386210924865,0.6823809523806275,0.5189208758638276,1433,1990,667,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h024.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h024.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,25,cuda,cuda,225,11,0.35,True,0.48226097226142883,1.456249475479126,0.40919158361007496,0.7038095238091887,0.5175070023359738,1478,2134,622,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h025.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h025.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,26,cuda,cuda,207,8,0.35,True,0.48999252915382385,1.4587600231170654,0.3972965809699451,0.7138095238091839,0.5104716494637778,1499,2274,601,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h026.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h026.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,27,cuda,cuda,273,7,0.35,True,0.4773349463939667,1.4602165222167969,0.4036144578312095,0.669999999999681,0.503759398026842,1407,2079,693,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h027.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h027.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,28,cuda,cuda,240,8,0.35,True,0.4834234416484833,1.4631011486053467,0.3933925596889524,0.6747619047615835,0.49701858950295186,1417,2185,683,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h028.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h028.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,29,cuda,cuda,229,14,0.4,True,0.475840300321579,1.4669004678726196,0.40721804511265947,0.6447619047615978,0.4991705064377526,1354,1971,746,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h029.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h029.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,30,cuda,cuda,285,9,0.4,True,0.46314096450805664,1.4656034708023071,0.40803858520887204,0.6042857142854265,0.48714011468175117,1269,1841,831,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h030.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h030.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,31,cuda,cuda,245,11,0.35,True,0.49107086658477783,1.4646315574645996,0.3892116182571537,0.669999999999681,0.49238845097853406,1407,2208,693,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h031.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h031.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,32,cuda,cuda,223,7,0.35,True,0.48681262135505676,1.4609943628311157,0.39313186813176015,0.681428571428247,0.49860627131282026,1431,2209,669,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h032.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h032.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,33,cuda,cuda,223,16,0.4,True,0.4722176492214203,1.4694175720214844,0.3963567839194735,0.6009523809520948,0.477668432526161,1262,1922,838,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h033.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h033.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,34,cuda,cuda,238,14,0.35,True,0.4952930212020874,1.4719133377075195,0.378058839702948,0.654761904761593,0.47934460473007323,1375,2262,725,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h034.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h034.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,35,cuda,cuda,202,13,0.4,True,0.47744688391685486,1.4735976457595825,0.3903495205690101,0.6009523809520948,0.47327957949613864,1262,1971,838,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h035.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h035.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,36,cuda,cuda,248,12,0.4,True,0.4692839980125427,1.4747058153152466,0.3835660928871765,0.5623809523806845,0.4560726004058929,1181,1898,919,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h036.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h036.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,37,cuda,cuda,287,11,0.35,True,0.48675620555877686,1.4725735187530518,0.37353286384965567,0.6061904761901875,0.46223674607850085,1273,2135,827,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h037.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h037.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,38,cuda,cuda,230,12,0.4,True,0.4726576805114746,1.4693834781646729,0.38539682539670306,0.5780952380949628,0.46247618999601425,1214,1936,886,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h038.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h038.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,39,cuda,cuda,123,15,0.35,True,0.5173972845077515,1.4609241485595703,0.36587129428769194,0.7228571428567987,0.4858377335910472,1518,2631,582,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h039.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h039.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,40,cuda,cuda,175,18,0.4,True,0.48572853207588196,1.465363621711731,0.3793917921463303,0.6119047619044705,0.468379806343448,1285,2102,815,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h040.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h040.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,41,cuda,cuda,157,15,0.3,True,0.5341916680335999,1.4623568058013916,0.35370494739190644,0.7523809523805941,0.4811938475928303,1580,2887,520,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h041.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h041.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,42,cuda,cuda,122,18,0.35,True,0.5250625014305115,1.4604665040969849,0.35819845179442683,0.7271428571425109,0.4799622815001066,1527,2736,573,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h042.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h042.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,43,cuda,cuda,144,20,0.4,True,0.5003170371055603,1.4667119979858398,0.37127894156549857,0.641428571428266,0.47032122858569547,1347,2281,753,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h043.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h043.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,44,cuda,cuda,155,14,0.35,True,0.5181950330734253,1.4653767347335815,0.35740971357400814,0.6833333333330079,0.4693376937434859,1435,2580,665,xgb_rain_clf_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h044.json,xgb_rain_reg_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h044.json
