location_id,location_name,target,h,device_clf,device_reg,best_iter_clf,best_iter_reg,p_thr_tuned,use_log1p,test_mae,test_rmse,prec,rec,f1,tp,fp,fn,model_clf,model_reg
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,1,cuda,cuda,375,65,0.55,True,0.2734537124633789,1.0478777885437012,0.7711598746078051,0.7742805755392203,0.772717073764856,1722,511,502,xgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h001.json,xgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h001.json
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,2,cuda,cuda,344,29,0.5,True,0.3182624280452728,1.1104270219802856,0.6586538461535822,0.7392086330931928,0.6966101689928907,1644,852,580,xgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h002.json,xgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h002.json
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,3,cuda,cuda,261,51,0.5,True,0.3408011496067047,1.123077392578125,0.6100185528754694,0.7392086330931928,0.6684285418909762,1644,1051,580,xgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h003.json,xgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h003.json
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,4,cuda,cuda,289,61,0.45,True,0.36234936118125916,1.1338109970092773,0.5714766229395992,0.7639388489205198,0.6538387526369378,1699,1274,525,xgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h004.json,xgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h004.json
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,5,cuda,cuda,240,37,0.45,True,0.369446337223053,1.1406399011611938,0.5563564875489658,0.7634892086327503,0.6436694460624875,1698,1354,526,xgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h005.json,xgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h005.json
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,6,cuda,cuda,238,53,0.45,True,0.37475720047950745,1.1422793865203857,0.5513531137917994,0.7603417266183632,0.6391986387110902,1691,1376,533,xgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h006.json,xgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h006.json
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,7,cuda,cuda,315,31,0.4,True,0.38168415427207947,1.148876428604126,0.5321656050953719,0.7513489208629716,0.6230425051071897,1671,1469,553,xgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h007.json,xgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h007.json
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,8,cuda,cuda,226,39,0.45,True,0.3860730826854706,1.1525816917419434,0.5349583066066277,0.7499999999996628,0.6244852110450314,1668,1450,556,xgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h008.json,xgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h008.json
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,9,cuda,cuda,277,57,0.35,True,0.40795740485191345,1.1536110639572144,0.5025951557091977,0.7837230215823814,0.6124385097134073,1743,1725,481,xgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h009.json,xgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h009.json
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,10,cuda,cuda,243,35,0.4,True,0.3975377380847931,1.1531118154525757,0.5131778249013895,0.7616906474816719,0.6132126692020352,1694,1607,530,xgb_rain_clf_55e90ccc-1370-5a29-b02e-8ac2297b3890_h010.json,xgb_rain_reg_55e90ccc-1370-5a29-b02e-8ac2297b3890_h010.json
