location_id,location_name,target,h,device_clf,device_reg,best_iter_clf,best_iter_reg,p_thr_tuned,use_log1p,test_mae,test_rmse,prec,rec,f1,tp,fp,fn,model_clf,model_reg
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,1,cuda,cuda,116,62,0.55,True,0.25144004821777344,0.909288227558136,0.851556842867179,0.8290447655971699,0.8401500262902878,2352,410,485,xgb_rain_clf_61631413-c628-5fe4-adf3-7719f9a9c45a_h001.json,xgb_rain_reg_61631413-c628-5fe4-adf3-7719f9a9c45a_h001.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,2,cuda,cuda,125,53,0.45,True,0.3044995069503784,0.9808704257011414,0.7340986658390524,0.8339795558685816,0.7808580853103517,2366,857,471,xgb_rain_clf_61631413-c628-5fe4-adf3-7719f9a9c45a_h002.json,xgb_rain_reg_61631413-c628-5fe4-adf3-7719f9a9c45a_h002.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,3,cuda,cuda,154,60,0.45,True,0.3210684061050415,0.9932861328125,0.7001806140876881,0.8198801550931195,0.7553174211622155,2326,996,511,xgb_rain_clf_61631413-c628-5fe4-adf3-7719f9a9c45a_h003.json,xgb_rain_reg_61631413-c628-5fe4-adf3-7719f9a9c45a_h003.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,4,cuda,cuda,192,51,0.45,True,0.33340218663215637,1.003258466720581,0.6737338044756556,0.8064857243564306,0.7341569062902452,2288,1108,549,xgb_rain_clf_61631413-c628-5fe4-adf3-7719f9a9c45a_h004.json,xgb_rain_reg_61631413-c628-5fe4-adf3-7719f9a9c45a_h004.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,5,cuda,cuda,128,37,0.4,True,0.35337692499160767,1.0051627159118652,0.6256209150325162,0.8434966513920185,0.7184028815281934,2393,1432,444,xgb_rain_clf_61631413-c628-5fe4-adf3-7719f9a9c45a_h005.json,xgb_rain_reg_61631413-c628-5fe4-adf3-7719f9a9c45a_h005.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,6,cuda,cuda,129,32,0.5,True,0.3399314284324646,1.015883207321167,0.6581274778893997,0.7606626718361789,0.7056899929621583,2158,1121,679,xgb_rain_clf_61631413-c628-5fe4-adf3-7719f9a9c45a_h006.json,xgb_rain_reg_61631413-c628-5fe4-adf3-7719f9a9c45a_h006.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,7,cuda,cuda,113,41,0.45,True,0.3539462983608246,1.0162893533706665,0.6295676429565887,0.7955586887554474,0.7028962934959757,2257,1328,580,xgb_rain_clf_61631413-c628-5fe4-adf3-7719f9a9c45a_h007.json,xgb_rain_reg_61631413-c628-5fe4-adf3-7719f9a9c45a_h007.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,8,cuda,cuda,150,37,0.35,True,0.3804992437362671,1.0168356895446777,0.5626020051292696,0.8505463517797496,0.6772382818669065,2413,1876,424,xgb_rain_clf_61631413-c628-5fe4-adf3-7719f9a9c45a_h008.json,xgb_rain_reg_61631413-c628-5fe4-adf3-7719f9a9c45a_h008.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,9,cuda,cuda,130,43,0.45,True,0.3614320755004883,1.0254459381103516,0.6195925202342675,0.782516743038145,0.6915887845532646,2220,1363,617,xgb_rain_clf_61631413-c628-5fe4-adf3-7719f9a9c45a_h009.json,xgb_rain_reg_61631413-c628-5fe4-adf3-7719f9a9c45a_h009.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,10,cuda,cuda,115,33,0.5,True,0.35506463050842285,1.0292515754699707,0.6315307057743258,0.7285865350720027,0.6765957441831755,2067,1206,770,xgb_rain_clf_61631413-c628-5fe4-adf3-7719f9a9c45a_h010.json,xgb_rain_reg_61631413-c628-5fe4-adf3-7719f9a9c45a_h010.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,11,cuda,cuda,131,34,0.4,True,0.37818628549575806,1.023668646812439,0.5740971357408283,0.8124779696860019,0.672796263379147,2305,1710,532,xgb_rain_clf_61631413-c628-5fe4-adf3-7719f9a9c45a_h011.json,xgb_rain_reg_61631413-c628-5fe4-adf3-7719f9a9c45a_h011.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,12,cuda,cuda,127,43,0.45,True,0.375341534614563,1.0294585227966309,0.5837116154871606,0.7705322523790022,0.6642357941006232,2186,1559,651,xgb_rain_clf_61631413-c628-5fe4-adf3-7719f9a9c45a_h012.json,xgb_rain_reg_61631413-c628-5fe4-adf3-7719f9a9c45a_h012.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,13,cuda,cuda,112,43,0.4,True,0.39585235714912415,1.033323884010315,0.5480952380951075,0.8114205146278423,0.6542560745505458,2302,1898,535,xgb_rain_clf_61631413-c628-5fe4-adf3-7719f9a9c45a_h013.json,xgb_rain_reg_61631413-c628-5fe4-adf3-7719f9a9c45a_h013.json
