location_id,location_name,target,h,device_clf,device_reg,best_iter_clf,best_iter_reg,p_thr_tuned,use_log1p,test_mae,test_rmse,prec,rec,f1,tp,fp,fn,model_clf,model_reg
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,1,cuda,cuda,201,47,0.5,True,0.21239452064037323,0.7468457818031311,0.8183273309320455,0.8032207384128817,0.8107036664967487,2045,454,501,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h001.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h001.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,2,cuda,cuda,98,62,0.5,True,0.26500147581100464,0.8386833667755127,0.7201176903270614,0.7690494893948275,0.7437796766132676,1958,761,588,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h002.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h002.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,3,cuda,cuda,66,92,0.45,True,0.29150569438934326,0.8584330081939697,0.6625541847280219,0.780439905734179,0.7166816947239982,1987,1012,559,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h003.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h003.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,4,cuda,cuda,136,158,0.45,True,0.3071426451206207,0.8749949336051941,0.6352301790279299,0.780439905734179,0.700387733026339,1987,1141,559,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h004.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h004.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,5,cuda,cuda,78,65,0.45,True,0.314145565032959,0.8798618316650391,0.6256684491976642,0.781225451688617,0.6948471610779222,1989,1190,557,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h005.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h005.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,6,cuda,cuda,94,147,0.45,True,0.3156568109989166,0.87985759973526,0.6158209895995538,0.7674783974859515,0.6833362471015044,1954,1219,592,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h006.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h006.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,7,cuda,cuda,128,35,0.4,True,0.32304513454437256,0.8749277591705322,0.584619866006238,0.7882953652785591,0.6713497235448991,2007,1426,539,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h007.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h007.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,8,cuda,cuda,89,145,0.5,True,0.30737337470054626,0.8759716749191284,0.6198850185997228,0.7199528672424509,0.6661820820030012,1833,1124,713,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h008.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h008.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,9,cuda,cuda,84,166,0.5,True,0.31087812781333923,0.8809467554092407,0.6089441829184233,0.7113118617436326,0.6561594197926233,1811,1163,735,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h009.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h009.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,10,cuda,cuda,57,247,0.45,True,0.32648518681526184,0.8831393122673035,0.5736640094477197,0.7631578947365424,0.6549806163984149,1943,1444,603,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h010.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h010.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,11,cuda,cuda,85,167,0.45,True,0.32957175374031067,0.8885917067527771,0.5667157584681689,0.7556952081693811,0.647702406512181,1924,1471,622,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h011.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h011.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,12,cuda,cuda,83,167,0.45,True,0.3299357295036316,0.8909266591072083,0.5615995295499672,0.7501963864883149,0.6423406754811967,1910,1491,636,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h012.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h012.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,13,cuda,cuda,70,200,0.5,True,0.3220171332359314,0.8898215293884277,0.5846958796597173,0.7022780832675953,0.6381156311955947,1788,1270,758,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h013.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h013.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,14,cuda,cuda,69,52,0.45,True,0.33829134702682495,0.8911504149436951,0.5514018691587175,0.7415553809894967,0.6324958119059126,1888,1536,658,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h014.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h014.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,15,cuda,cuda,69,69,0.45,True,0.3392980098724365,0.8953167200088501,0.5465421651588718,0.7356637863312114,0.627155532743549,1873,1554,673,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h015.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h015.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,16,cuda,cuda,86,99,0.45,True,0.34182196855545044,0.8983866572380066,0.5456401283171346,0.7348782403767734,0.6262761501383252,1871,1558,675,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h016.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h016.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,17,cuda,cuda,47,107,0.45,True,0.34499210119247437,0.8986731767654419,0.5331814297919302,0.7352710133539925,0.6181277855451768,1872,1639,674,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h017.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h017.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,18,cuda,cuda,113,35,0.45,True,0.3429422080516815,0.9012426137924194,0.5408103347033056,0.7234878240374221,0.6189516124134563,1842,1564,704,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h018.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h018.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,19,cuda,cuda,88,26,0.45,True,0.3464322090148926,0.9049669504165649,0.5330422125180398,0.7191673212880129,0.612272194795911,1831,1604,715,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h019.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h019.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,20,cuda,cuda,87,102,0.45,True,0.35232874751091003,0.9030929803848267,0.5291139240504841,0.7388059701489635,0.616620225705901,1881,1674,665,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h020.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h020.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,21,cuda,cuda,47,46,0.45,True,0.3516678214073181,0.8995199799537659,0.5246038365302962,0.7411626080122776,0.6143578051468629,1887,1710,659,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h021.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h021.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,22,cuda,cuda,48,35,0.45,True,0.3508455157279968,0.9053055644035339,0.5230943610086362,0.7250589159462981,0.6077366250272945,1846,1683,700,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h022.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h022.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,23,cuda,cuda,66,23,0.4,True,0.37439557909965515,0.9035382866859436,0.4855477289287137,0.785153181460807,0.6000300160366958,1999,2118,547,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h023.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h023.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,24,cuda,cuda,69,59,0.4,True,0.37793245911598206,0.9076955914497375,0.4790652385587928,0.7729772191670177,0.5915238949286373,1968,2140,578,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h024.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h024.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,25,cuda,cuda,48,33,0.4,True,0.3804970681667328,0.9066356420516968,0.47850866777476164,0.7914375490963113,0.596418528463141,2015,2196,531,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h025.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h025.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,26,cuda,cuda,40,73,0.45,True,0.3705587387084961,0.9082732796669006,0.5003933910305532,0.7494108405338769,0.6000943539779088,1908,1905,638,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h026.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h026.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,27,cuda,cuda,33,30,0.45,True,0.3688904047012329,0.9066627621650696,0.4952928870291592,0.7439120188528108,0.5946624798967052,1894,1930,652,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h027.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h027.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,28,cuda,cuda,43,33,0.45,True,0.36691123247146606,0.90574049949646,0.4940460439268341,0.7333071484678974,0.5903557307441107,1867,1912,679,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h028.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h028.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,29,cuda,cuda,39,32,0.45,True,0.3717200756072998,0.9083804488182068,0.49505465903162543,0.7470542026705628,0.5954915461703624,1902,1940,644,xgb_rain_clf_8a3dd815-a267-514a-94c4-d1cf7efd5019_h029.json,xgb_rain_reg_8a3dd815-a267-514a-94c4-d1cf7efd5019_h029.json
