location_id,location_name,target,h,device_clf,device_reg,best_iter_clf,best_iter_reg,p_thr_tuned,use_log1p,test_mae,test_rmse,prec,rec,f1,tp,fp,fn,model_clf,model_reg
af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai,rain,1,cuda,cuda,261,65,0.55,True,0.22302065789699554,0.787074863910675,0.8378095570279603,0.8624775583479848,0.8499646137956289,2402,465,383,xgb_rain_clf_af8535bd-79af-54b1-a483-cc8b9d95ed53_h001.json,xgb_rain_reg_af8535bd-79af-54b1-a483-cc8b9d95ed53_h001.json
af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai,rain,2,cuda,cuda,254,54,0.45,True,0.2605283558368683,0.8344284296035767,0.7496178538670897,0.8804308797124307,0.8097754288292406,2452,819,333,xgb_rain_clf_af8535bd-79af-54b1-a483-cc8b9d95ed53_h002.json,xgb_rain_reg_af8535bd-79af-54b1-a483-cc8b9d95ed53_h002.json
af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai,rain,3,cuda,cuda,230,100,0.55,True,0.2642796039581299,0.866796612739563,0.7669999999997443,0.8262118491918039,0.7955056174779436,2301,699,484,xgb_rain_clf_af8535bd-79af-54b1-a483-cc8b9d95ed53_h003.json,xgb_rain_reg_af8535bd-79af-54b1-a483-cc8b9d95ed53_h003.json
af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai,rain,4,cuda,cuda,271,31,0.5,True,0.27849358320236206,0.8855500221252441,0.733976353453412,0.8470377019745612,0.7864644102374173,2359,855,426,xgb_rain_clf_af8535bd-79af-54b1-a483-cc8b9d95ed53_h004.json,xgb_rain_reg_af8535bd-79af-54b1-a483-cc8b9d95ed53_h004.json
af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai,rain,5,cuda,cuda,261,43,0.5,True,0.2855941355228424,0.8889005184173584,0.731631382316086,0.843806104128961,0.7837251954335724,2350,862,435,xgb_rain_clf_af8535bd-79af-54b1-a483-cc8b9d95ed53_h005.json,xgb_rain_reg_af8535bd-79af-54b1-a483-cc8b9d95ed53_h005.json
af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai,rain,6,cuda,cuda,259,24,0.45,True,0.2894918918609619,0.8983619809150696,0.7152674036448415,0.8596050269296734,0.7808219173121643,2394,953,391,xgb_rain_clf_af8535bd-79af-54b1-a483-cc8b9d95ed53_h006.json,xgb_rain_reg_af8535bd-79af-54b1-a483-cc8b9d95ed53_h006.json
af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai,rain,7,cuda,cuda,218,24,0.5,True,0.28698867559432983,0.8966320753097534,0.7243310516488101,0.8359066427286047,0.7761293543947803,2328,886,457,xgb_rain_clf_af8535bd-79af-54b1-a483-cc8b9d95ed53_h007.json,xgb_rain_reg_af8535bd-79af-54b1-a483-cc8b9d95ed53_h007.json
af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai,rain,8,cuda,cuda,318,24,0.4,True,0.2962837219238281,0.8993460536003113,0.6975273145483906,0.8710951526029188,0.7747086056051877,2426,1052,359,xgb_rain_clf_af8535bd-79af-54b1-a483-cc8b9d95ed53_h008.json,xgb_rain_reg_af8535bd-79af-54b1-a483-cc8b9d95ed53_h008.json
af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai,rain,9,cuda,cuda,266,20,0.45,True,0.2956288456916809,0.9058364033699036,0.7077014570322011,0.8545780969476285,0.7742355232517275,2380,983,405,xgb_rain_clf_af8535bd-79af-54b1-a483-cc8b9d95ed53_h009.json,xgb_rain_reg_af8535bd-79af-54b1-a483-cc8b9d95ed53_h009.json
af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai,rain,10,cuda,cuda,230,23,0.45,True,0.29663777351379395,0.9055243134498596,0.7009098913998529,0.8574506283659399,0.7713178289621604,2388,1019,397,xgb_rain_clf_af8535bd-79af-54b1-a483-cc8b9d95ed53_h010.json,xgb_rain_reg_af8535bd-79af-54b1-a483-cc8b9d95ed53_h010.json
