location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,1,cuda,86,2.113406181335449,3.0970990657806396,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h001.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,2,cuda,197,3.1744132041931152,4.4919328689575195,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h002.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,3,cuda,160,3.870718002319336,5.402490615844727,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h003.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,4,cuda,152,4.447124004364014,6.151353359222412,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h004.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,5,cuda,149,4.847241401672363,6.623459339141846,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h005.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,6,cuda,118,5.117354393005371,6.969089984893799,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h006.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,7,cuda,101,5.314200401306152,7.20860481262207,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h007.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,8,cuda,147,5.50804328918457,7.447845935821533,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h008.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,9,cuda,103,5.651602268218994,7.676443576812744,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h009.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,10,cuda,101,5.786938190460205,7.886124134063721,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h010.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,11,cuda,126,5.8880743980407715,8.033689498901367,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h011.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,12,cuda,76,5.9431023597717285,8.106843948364258,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h012.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,13,cuda,106,6.0457072257995605,8.23991584777832,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h013.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,14,cuda,62,6.1088433265686035,8.316203117370605,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h014.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,15,cuda,71,6.153438091278076,8.394881248474121,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h015.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,16,cuda,115,6.263805866241455,8.576849937438965,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h016.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,17,cuda,63,6.297532558441162,8.58486557006836,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h017.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,18,cuda,59,6.383255958557129,8.71232795715332,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h018.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,19,cuda,58,6.475884437561035,8.847168922424316,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h019.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,20,cuda,66,6.4995951652526855,8.865675926208496,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h020.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,21,cuda,79,6.567933082580566,8.957881927490234,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h021.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,22,cuda,54,6.630760669708252,9.014134407043457,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h022.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,23,cuda,81,6.635227680206299,9.053963661193848,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h023.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,24,cuda,55,6.664859294891357,9.057064056396484,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h024.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,25,cuda,70,6.761504173278809,9.191079139709473,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h025.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,26,cuda,52,6.907596111297607,9.319911003112793,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h026.json
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rh,27,cuda,77,7.050725936889648,9.524713516235352,xgb_rh_20f3f035-f1a6-5786-a26c-52c01d5573ed_h027.json
