location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,1,cuda,276,1.8027644157409668,2.561506509780884,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h001.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,2,cuda,209,2.694291114807129,3.737663984298706,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h002.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,3,cuda,161,3.3398313522338867,4.528885841369629,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h003.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,4,cuda,270,3.787268877029419,5.088701248168945,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h004.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,5,cuda,112,4.149594783782959,5.576570510864258,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h005.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,6,cuda,134,4.4171247482299805,5.920373439788818,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h006.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,7,cuda,240,4.618348121643066,6.169276714324951,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h007.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,8,cuda,168,4.736017227172852,6.368426322937012,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h008.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,9,cuda,276,4.86157751083374,6.552464962005615,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h009.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,10,cuda,227,4.985118865966797,6.695345878601074,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h010.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,11,cuda,154,5.133340358734131,6.892380714416504,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h011.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,12,cuda,270,5.226290702819824,6.998298168182373,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h012.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,13,cuda,129,5.310324192047119,7.08701229095459,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h013.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,14,cuda,175,5.396408557891846,7.205709457397461,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h014.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,15,cuda,122,5.468452453613281,7.278853416442871,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h015.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,16,cuda,116,5.530333518981934,7.369710445404053,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h016.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,17,cuda,66,5.576938152313232,7.437525272369385,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h017.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,18,cuda,65,5.742712020874023,7.603246212005615,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h018.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,19,cuda,61,5.785982131958008,7.676011085510254,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h019.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,20,cuda,69,5.845661163330078,7.78721809387207,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h020.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,21,cuda,105,5.8960089683532715,7.852279186248779,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h021.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,22,cuda,59,5.949995517730713,7.905179500579834,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h022.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,23,cuda,60,6.072602272033691,8.054335594177246,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h023.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,24,cuda,60,6.127192497253418,8.133285522460938,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h024.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,25,cuda,52,6.2971415519714355,8.282734870910645,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h025.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,26,cuda,42,6.485240936279297,8.459444999694824,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h026.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,27,cuda,41,6.648054599761963,8.622889518737793,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h027.json
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rh,28,cuda,38,6.781950950622559,8.811461448669434,xgb_rh_2436bd46-d8f7-5578-86db-2eebaf0b60e8_h028.json
