location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,1,cuda,154,1.977325677871704,2.8055942058563232,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h001.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,2,cuda,262,3.0019989013671875,4.169841289520264,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h002.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,3,cuda,207,3.644055128097534,5.037532329559326,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h003.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,4,cuda,320,4.09995698928833,5.634008884429932,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h004.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,5,cuda,201,4.475647449493408,6.156527042388916,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h005.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,6,cuda,250,4.71021842956543,6.477930545806885,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h006.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,7,cuda,149,4.8839287757873535,6.741649627685547,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h007.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,8,cuda,207,5.039068222045898,6.956173419952393,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h008.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,9,cuda,189,5.210524559020996,7.190918445587158,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h009.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,10,cuda,258,5.33741569519043,7.3728108406066895,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h010.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,11,cuda,161,5.426368713378906,7.4805216789245605,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h011.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,12,cuda,182,5.539549350738525,7.599244594573975,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h012.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,13,cuda,123,5.635373115539551,7.7285966873168945,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h013.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,14,cuda,112,5.735620975494385,7.841374397277832,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h014.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,15,cuda,136,5.8348259925842285,7.9929375648498535,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h015.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,16,cuda,101,5.886005401611328,8.05404281616211,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h016.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,17,cuda,143,5.996584415435791,8.248899459838867,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h017.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,18,cuda,126,6.065920829772949,8.304780960083008,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h018.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,19,cuda,121,6.151205062866211,8.414385795593262,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h019.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,20,cuda,68,6.277370929718018,8.561549186706543,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h020.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,21,cuda,117,6.350269794464111,8.637674331665039,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h021.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,22,cuda,84,6.4066081047058105,8.701560020446777,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h022.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,23,cuda,72,6.500553131103516,8.80761432647705,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h023.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,24,cuda,60,6.597962379455566,8.936314582824707,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h024.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,25,cuda,59,6.731865406036377,9.094897270202637,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h025.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,26,cuda,77,6.8264851570129395,9.203697204589844,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h026.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,27,cuda,94,7.056783676147461,9.502097129821777,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h027.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,28,cuda,67,7.16359806060791,9.623858451843262,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h028.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,29,cuda,87,7.299227237701416,9.837032318115234,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h029.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,30,cuda,82,7.341019153594971,9.91568374633789,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h030.json
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rh,31,cuda,49,7.452084541320801,9.990882873535156,xgb_rh_2709bffa-c425-5fd1-b200-43a72a8253a4_h031.json
