location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,1,cuda,220,2.140007257461548,3.1508476734161377,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h001.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,2,cuda,135,3.168454170227051,4.544816493988037,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h002.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,3,cuda,182,3.8012945652008057,5.409411907196045,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h003.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,4,cuda,196,4.215389728546143,5.999112606048584,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h004.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,5,cuda,258,4.490960597991943,6.4088640213012695,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h005.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,6,cuda,191,4.67285680770874,6.670628070831299,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h006.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,7,cuda,99,4.822569847106934,6.8769850730896,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h007.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,8,cuda,80,4.9386210441589355,7.0054731369018555,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h008.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,9,cuda,141,4.954421043395996,7.058906078338623,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h009.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,10,cuda,202,5.038876533508301,7.165237903594971,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h010.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,11,cuda,81,5.092806816101074,7.192230224609375,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h011.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,12,cuda,90,5.111149787902832,7.236414432525635,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h012.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,13,cuda,103,5.17034387588501,7.363964080810547,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h013.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,14,cuda,80,5.194716453552246,7.377654075622559,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h014.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,15,cuda,84,5.239140510559082,7.415421962738037,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h015.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,16,cuda,87,5.236921787261963,7.454031944274902,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h016.json
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rh,17,cuda,64,5.280399799346924,7.508957386016846,xgb_rh_271a23fd-9dad-5b0c-b930-f016d1984f17_h017.json
