location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,1,cuda,161,2.3103535175323486,3.2190773487091064,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h001.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,2,cuda,135,3.288760185241699,4.52361536026001,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h002.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,3,cuda,148,3.9605565071105957,5.396707057952881,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h003.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,4,cuda,157,4.424292087554932,6.0020318031311035,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h004.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,5,cuda,189,4.802026748657227,6.496956825256348,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h005.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,6,cuda,168,5.078925609588623,6.84114408493042,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h006.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,7,cuda,102,5.269287586212158,7.121003150939941,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h007.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,8,cuda,106,5.449473857879639,7.356624603271484,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h008.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,9,cuda,97,5.572700500488281,7.494275093078613,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h009.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,10,cuda,106,5.773229122161865,7.720645904541016,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h010.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,11,cuda,75,5.871252059936523,7.862866401672363,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h011.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,12,cuda,115,6.007266998291016,8.016250610351562,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h012.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,13,cuda,80,6.061868667602539,8.086067199707031,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h013.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,14,cuda,76,6.188126564025879,8.2484130859375,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h014.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,15,cuda,68,6.3064422607421875,8.350278854370117,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h015.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,16,cuda,61,6.410212516784668,8.489073753356934,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h016.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,17,cuda,69,6.456741809844971,8.50284481048584,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h017.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,18,cuda,86,6.605994701385498,8.698010444641113,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h018.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,19,cuda,58,6.633567810058594,8.731698036193848,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h019.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,20,cuda,58,6.678310871124268,8.75656509399414,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h020.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,21,cuda,110,6.749367713928223,8.863374710083008,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h021.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,22,cuda,48,6.731379985809326,8.832650184631348,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h022.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,23,cuda,41,6.799096584320068,8.89317798614502,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h023.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,24,cuda,49,6.788745880126953,8.925558090209961,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h024.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,25,cuda,47,6.975874423980713,9.13283634185791,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h025.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,26,cuda,46,7.071586608886719,9.288824081420898,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h026.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,27,cuda,44,7.218928813934326,9.481743812561035,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h027.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,28,cuda,44,7.313718318939209,9.624195098876953,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h028.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,29,cuda,43,7.44148063659668,9.768095016479492,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h029.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,30,cuda,52,7.620045185089111,9.937268257141113,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h030.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,31,cuda,56,7.638172149658203,9.979667663574219,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h031.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,32,cuda,61,7.751070022583008,10.115859031677246,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h032.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,33,cuda,53,7.849880695343018,10.203448295593262,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h033.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,34,cuda,40,7.813542366027832,10.144948959350586,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h034.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,35,cuda,64,7.977655410766602,10.374619483947754,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h035.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,36,cuda,58,8.035231590270996,10.380843162536621,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h036.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,37,cuda,42,8.04384708404541,10.383878707885742,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h037.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,38,cuda,45,8.162553787231445,10.47339153289795,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h038.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,39,cuda,58,8.205945014953613,10.549430847167969,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h039.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,40,cuda,54,8.194522857666016,10.526419639587402,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h040.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,41,cuda,53,8.23990535736084,10.599303245544434,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h041.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,42,cuda,45,8.286795616149902,10.652853965759277,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h042.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,43,cuda,39,8.275150299072266,10.574925422668457,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h043.json
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rh,44,cuda,53,8.335055351257324,10.684591293334961,xgb_rh_8a3dd815-a267-514a-94c4-d1cf7efd5019_h044.json
