location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,1,cuda,150,0.3214505910873413,0.4447818398475647,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h001.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,2,cuda,98,0.4241770803928375,0.5745819211006165,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h002.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,3,cuda,80,0.4715054929256439,0.6331896185874939,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h003.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,4,cuda,88,0.4938131868839264,0.6631038784980774,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h004.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,5,cuda,105,0.5113910436630249,0.6838699579238892,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h005.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,6,cuda,69,0.5220704674720764,0.6996917724609375,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h006.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,7,cuda,87,0.5301222205162048,0.711433470249176,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h007.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,8,cuda,73,0.5339235067367554,0.7161243557929993,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h008.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,9,cuda,73,0.5381892919540405,0.7262303233146667,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h009.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,10,cuda,70,0.539456307888031,0.726814329624176,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h010.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,11,cuda,55,0.541851282119751,0.730438232421875,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h011.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,12,cuda,65,0.5441260933876038,0.7341145277023315,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h012.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,13,cuda,47,0.5447008013725281,0.7346609830856323,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h013.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,14,cuda,45,0.5442342758178711,0.7340534925460815,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h014.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,15,cuda,47,0.5447598099708557,0.7335013151168823,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h015.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,16,cuda,61,0.5488629341125488,0.736565887928009,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h016.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,17,cuda,49,0.5493537187576294,0.7377744913101196,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h017.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,18,cuda,51,0.5471940636634827,0.7372825145721436,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h018.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,19,cuda,52,0.5529082417488098,0.7434248328208923,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h019.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,20,cuda,44,0.5516678094863892,0.7424819469451904,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h020.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,21,cuda,37,0.5524313449859619,0.7414710521697998,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h021.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,22,cuda,36,0.5513785481452942,0.7396347522735596,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h022.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,23,cuda,33,0.5535861849784851,0.7418695092201233,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h023.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,24,cuda,43,0.5534496903419495,0.7426499128341675,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h024.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,25,cuda,30,0.5585693717002869,0.7462908625602722,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h025.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,26,cuda,32,0.563218355178833,0.7510600090026855,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h026.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,27,cuda,40,0.5667693018913269,0.7566913962364197,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h027.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,28,cuda,31,0.5699933767318726,0.7587563991546631,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h028.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,29,cuda,32,0.5711551904678345,0.7588432431221008,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h029.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,30,cuda,36,0.5721498131752014,0.7601649761199951,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h030.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,31,cuda,50,0.5806562900543213,0.7712960839271545,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h031.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,32,cuda,30,0.576439380645752,0.7647815942764282,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h032.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,33,cuda,34,0.5812199711799622,0.770139217376709,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h033.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,34,cuda,35,0.5793721675872803,0.7697098255157471,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h034.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,35,cuda,41,0.5829311013221741,0.7730695605278015,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h035.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,36,cuda,34,0.5805663466453552,0.7701647877693176,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h036.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,37,cuda,36,0.5787696242332458,0.7697279453277588,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h037.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,38,cuda,28,0.5812826156616211,0.7701639533042908,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h038.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,39,cuda,32,0.5801389217376709,0.7701099514961243,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h039.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,40,cuda,29,0.5799058079719543,0.7684893608093262,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h040.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,41,cuda,30,0.5806720852851868,0.7704887390136719,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h041.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,42,cuda,40,0.584784746170044,0.7765486836433411,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h042.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,43,cuda,34,0.5827026963233948,0.773398220539093,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h043.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,44,cuda,36,0.5812039971351624,0.7713590264320374,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h044.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,45,cuda,30,0.5814045667648315,0.7702476382255554,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h045.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,46,cuda,28,0.5806419849395752,0.7695759534835815,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h046.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,47,cuda,29,0.5828648209571838,0.772930383682251,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h047.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,48,cuda,29,0.5840762257575989,0.772795557975769,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h048.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,49,cuda,29,0.5828045606613159,0.7713298201560974,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h049.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,50,cuda,29,0.5831352472305298,0.771620512008667,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h050.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,51,cuda,33,0.5875558257102966,0.7781684994697571,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h051.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,52,cuda,35,0.5869045257568359,0.7764572501182556,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h052.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,53,cuda,33,0.5877180099487305,0.777319073677063,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h053.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,54,cuda,36,0.5872802734375,0.7787663340568542,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h054.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,55,cuda,34,0.5873417854309082,0.7779011130332947,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h055.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,56,cuda,30,0.5880378484725952,0.7765417695045471,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h056.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,57,cuda,28,0.5870987772941589,0.7747575640678406,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h057.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,58,cuda,32,0.5860283374786377,0.7760486006736755,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h058.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,59,cuda,30,0.5862663388252258,0.7748255729675293,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h059.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,60,cuda,32,0.5864211320877075,0.7769882082939148,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h060.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,61,cuda,29,0.586974561214447,0.775900661945343,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h061.json
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,62,cuda,41,0.5936238765716553,0.7874616384506226,xgb_v10_61631413-c628-5fe4-adf3-7719f9a9c45a_h062.json
